站点,lon,lat,所属线路,所属区划,,
上海火车站,121.4533666,31.25151549,3号线,闸北区,,
中潭路,121.4363875,31.25641807,3号线,普陀区,,
镇坪路,121.4251465,31.24820849,3号线,普陀区,,
曹杨路,121.4130553,31.24113562,3号线,普陀区,,
金沙江路,121.4085017,31.23383925,3号线,普陀区,,
中山公园,121.4111276,31.21979069,3号线,长宁区,,
延安西路,121.4124183,31.2114632,3号线,长宁区,,
虹桥路,121.4161747,31.19937907,3号线,长宁区,,
宜山路,121.4225631,31.18858228,3号线,徐汇区,,
上海体育馆,121.4328088,31.18469182,3号线,徐汇区,,
漕溪路,121.4337981,31.17862924,3号线,徐汇区,,
龙漕路,121.439784,31.17135406,3号线,徐汇区,,
石龙路,121.4386044,31.15984909,3号线,徐汇区,,
上海南站,121.4254169,31.15646348,3号线,徐汇区,,
宝山路,121.4717817,31.25345052,4号线,闸北区,,
海伦路,121.4842227,31.26126198,4号线,虹口区,,
临平路,121.4962647,31.26286798,4号线,虹口区,,
大连路,121.5087015,31.25997056,4号线,虹口区,,
杨树浦路,121.5128385,31.25398244,4号线,虹口区,,
曲阳路,121.4866709,31.27848279,8号线,虹口区,,
四平路,121.4970584,31.27687039,8号线,虹口区,,
国际客运中心,121.4937184,31.25215105,12号线,虹口区,,
提篮桥,121.5023924,31.25553361,12号线,虹口区,,
大连路,121.5087015,31.25997056,12号线,虹口区,,
长寿路,121.4336543,31.24271223,7号线,普陀区,,
镇坪路,121.4251465,31.24820849,7号线,普陀区,,
岚皋路,121.4172958,31.25802651,7号线,普陀区,,
新村路,121.4180389,31.26577766,7号线,普陀区,,
大华三路,121.4183053,31.27586855,7号线,宝山区,,
行知路,121.4168468,31.28675805,7号线,宝山区,,
大场镇,121.4118966,31.29513001,7号线,宝山区,,
场中路,121.4090067,31.30548988,7号线,宝山区,,
上大路,121.4039223,31.3168706,7号线,宝山区,,
南陈路,121.3942039,31.32323562,7号线,宝山区,,
上海大学站,121.3842291,31.32239047,7号线,宝山区,,
祁华路,121.3689293,31.32413451,7号线,宝山区,,
顾村公园,121.3683681,31.3464063,7号线,宝山区,,
刘行,121.3577504,31.35940922,7号线,宝山区,,
潘广路,121.3512307,31.36601378,7号线,宝山区,,
罗南新村,121.3528505,31.39065251,7号线,宝山区,,
美兰湖,121.34536,31.40377983,7号线,宝山区,,
金运路,121.314784,31.24293354,13号线,嘉定区,,
金沙江西路,121.330596,31.2430695,13号线,嘉定区,,
丰庄,121.3505386,31.24443316,13号线,嘉定区,,
祁连山南路,121.3626518,31.23948809,13号线,普陀区,,
真北路,121.3773045,31.23409039,13号线,普陀区,,
大渡河路,121.3897809,31.23358995,13号线,普陀区,,
金沙江路,121.4085017,31.23383925,13号线,普陀区,,
隆德路,121.4189368,31.23235023,13号线,普陀区,,
武宁路,121.4258737,31.23619169,13号线,普陀区,,
长寿路,121.4336543,31.24271223,13号线,普陀区,,
江宁路,121.4402255,31.24614272,13号线,普陀区,,
汉中路,121.4541294,31.24377161,13号线,闸北区,,
自然博物馆,121.4578073,31.23835032,13号线,静安区,,
南京西路,121.455406,31.23174992,13号线,静安区,,
淮海中路,121.4599631,31.22219186,13号线,黄浦区,,
新天地,121.470665,31.21830767,13号线,黄浦区,,
马当路,121.4727465,31.21146952,13号线,黄浦区,,
世博会博物馆,121.4770982,31.19953928,13号线,黄浦区,,
世博大道,121.4798299,31.18477132,13号线,浦东新区,,
长清路,121.4833047,31.17644849,13号线,浦东新区,,
成山路,121.4917802,31.17275831,13号线,浦东新区,,
东明路,121.5064808,31.17471243,13号线,浦东新区,,
华鹏路,121.5222337,31.17838648,13号线,浦东新区,,
下南路,121.5358979,31.18144027,13号线,浦东新区,,
北蔡,121.5477576,31.18230324,13号线,浦东新区,,
陈春路,121.5534623,31.17694244,13号线,浦东新区,,
莲溪路,121.5621862,31.1713145,13号线,浦东新区,,
华夏中路,121.5789037,31.17798027,13号线,浦东新区,,
中科路,121.5982684,31.18108951,13号线,浦东新区,,
学林路,121.6101623,31.18569782,13号线,浦东新区,,
张江路,121.6249677,31.19133692,13号线,浦东新区,,
西渡,121.4278349,30.99133045,5号线(莘庄-奉贤新城),奉贤区,,
萧塘,121.4372702,30.967895,5号线(莘庄-奉贤新城),奉贤区,,
奉浦大道,121.4444151,30.94408818,5号线(莘庄-奉贤新城),奉贤区,,
环城东路,121.458674,30.9332374,5号线(莘庄-奉贤新城),奉贤区,,
望园路,121.4791156,30.93406214,5号线(莘庄-奉贤新城),奉贤区,,
金海湖,121.4880733,30.93095492,5号线(莘庄-奉贤新城),奉贤区,,·
奉贤新城,121.4918721,30.91608599,5号线(莘庄-奉贤新城),奉贤区,,
鞍山新村,121.505285,31.2752578,8号线,杨浦区,,
江浦路,121.5140096,31.27698696,8号线,杨浦区,,
黄兴路,121.5240651,31.28088205,8号线,杨浦区,,
延吉中路,121.5306251,31.29062477,8号线,杨浦区,,
黄兴公园,121.5290617,31.29746389,8号线,杨浦区,,
翔殷路,121.5276474,31.30706932,8号线,杨浦区,,
嫩江路,121.5276265,31.31686752,8号线,杨浦区,,
市光路,121.5276048,31.32478451,8号线,杨浦区,,
新江湾城,121.5025365,31.3304819,10号线(新江湾城-虹桥火车站),杨浦区,,
殷高东路,121.5023826,31.3237559,10号线(新江湾城-虹桥火车站),杨浦区,,
三门路,121.5039318,31.31520975,10号线(新江湾城-虹桥火车站),杨浦区,,
江湾体育场,121.5089244,31.30630709,10号线(新江湾城-虹桥火车站),杨浦区,,
五角场,121.5102475,31.30006347,10号线(新江湾城-虹桥火车站),杨浦区,,
国权路,121.5056239,31.2912862,10号线(新江湾城-虹桥火车站),杨浦区,,
同济大学,121.5019443,31.28408809,10号线(新江湾城-虹桥火车站),杨浦区,,
四平路,121.4970584,31.27687039,10号线(新江湾城-虹桥火车站),虹口区,,
邮电新村,121.4899072,31.27050471,10号线(新江湾城-虹桥火车站),虹口区,,
海伦路,121.4842227,31.26126198,10号线(新江湾城-虹桥火车站),虹口区,,
四川北路,121.4797186,31.25398423,10号线(新江湾城-虹桥火车站),虹口区,,
天潼路,121.4779783,31.24577698,10号线(新江湾城-虹桥火车站),闸北区,,
南京东路,121.4801412,31.24005768,10号线(新江湾城-虹桥火车站),黄浦区,,
豫园,121.4829971,31.22977061,10号线(新江湾城-虹桥火车站),黄浦区,,
老西门,121.479305,31.22097716,10号线(新江湾城-虹桥火车站),黄浦区,,
新天地,121.470665,31.21830767,10号线(新江湾城-虹桥火车站),黄浦区,,
陕西南路,121.4541768,31.21705111,10号线(新江湾城-虹桥火车站),徐汇区,,
上海图书馆,121.4397606,31.20983687,10号线(新江湾城-虹桥火车站),徐汇区,,
交通大学,121.4306332,31.20407938,10号线(新江湾城-虹桥火车站),长宁区,,
虹桥路,121.4161747,31.19937907,10号线(新江湾城-虹桥火车站),长宁区,,
宋园路,121.4074342,31.19839188,10号线(新江湾城-虹桥火车站),长宁区,,
伊犁路,121.3992504,31.20073038,10号线(新江湾城-虹桥火车站),长宁区,,
水城路,121.3876127,31.20133653,10号线(新江湾城-虹桥火车站),长宁区,,
龙溪路,121.3753977,31.19626742,10号线(新江湾城-虹桥火车站),长宁区,,
上海动物园,121.3635166,31.19213041,10号线(新江湾城-虹桥火车站),长宁区,,
虹桥1号航站楼,121.3427887,31.19328119,10号线(新江湾城-虹桥火车站),长宁区,,
虹桥2号航站楼,121.3217642,31.19616758,10号线(新江湾城-虹桥火车站),闵行区,,
虹桥火车站,121.3144308,31.19599241,10号线(新江湾城-虹桥火车站),闵行区,,
江浦公园,121.5193467,31.26663079,12号线,杨浦区,,
宁国路,121.5280297,31.27065717,12号线,杨浦区,,
隆昌路,121.5404057,31.27732469,12号线,杨浦区,,
爱国路,121.5483889,31.28191557,12号线,杨浦区,,
复兴岛,121.5570682,31.28292295,12号线,杨浦区,,
九亭,121.3149076,31.13925075,9号线,松江区,,
泗泾,121.2558272,31.1203507,9号线,松江区,,
佘山,121.2252646,31.1061732,9号线,松江区,,
洞泾,121.2260538,31.08657984,9号线,松江区,,
松江大学城,121.2281618,31.05609096,9号线,松江区,,
松江新城,121.2263246,31.03241418,9号线,松江区,,
松江体育中心,121.2260906,31.01816531,9号线,松江区,,
醉白池,121.224948,31.00326008,9号线,松江区,,
松江南站,121.2264735,30.98696404,9号线,松江区,,
东陆路,121.5749057,31.28470121,12号线,浦东新区,,
巨峰路,121.5841553,31.28286047,12号线,浦东新区,,
杨高北路,121.598755,31.28227272,12号线,浦东新区,,
金京路,121.6112677,31.28199987,12号线,浦东新区,,
申江路,121.6226437,31.28239867,12号线,浦东新区,,
金海路,121.634396,31.26530185,12号线,浦东新区,,
